スコア,ブランド,名称,量,口コミ数,単価,注目人数,所持人数
5.1,イプサ,ザ・タイムRアクア,200,5530,4000,15731,32758
5.3,アルビオン,フローラドリップ,80,1561,7000,5584,9737
5.0,エリクシール,エリクシールルフレバランシングおしろいミルクC,35,1113,1800,1754,3883
5.3,キュレル,ディープモイスチャースプレー,60,1110,900,1921,3622
5.6,エリクシール,デザインタイム美容液,40,949,4000,729,1877
5.4,SK-Ⅱ,フェイシャルトリートメントエッセンス,75,19882,8500,14135,9803
5.2,キールズ,キールズDSクリアリーホワイトブライトニングエッセンス,30,2029,7200,6469,6473
5.1,オルビス,オルビスユーローション,180,4534,2500,6471,10768
4.4,タカミ,タカミスキンピール,10,2521,910,3969,2066
5.3,ランコム,クラリフィック デュアル エッセンス ローション,150,3016,11000,3298,10092
4.7,オードムーゲ,オードムーゲ 薬用ローション,160,15348,970,11294,4106
5.0,アスタリフト,アスタリフト スパークル タイト セラム,50,402,4000,360,1250
4.9,オバジ,オバジC25セラム ネオ,12,828,10000,2695,2114
5.0,アルビオン,アルビオン 薬用スキンコンディショナー エッセンシャル,110,26314,3500,26326,20663
5.2,SOFINA,ベースケア セラム,90,1851,5000,2608,7316
4.3,Norganic,モイスチュア＆バランシング ローション,100,296,3800,613,680
4.3,メラノCC,薬用しみ対策 美白化粧水,170,1033,800,1848,2331
5.2,コスメデコルテ ,モイスチュア リポソーム,20,10241,5000,13937,7373
5.3,ベネフィーク,リセットクリア,150,865,3800,1728,5880
4.8,キールズ,キールズ ハーバル トナー CL アルコールフリー,125,1361,2500,2384,3881
5.3,MEDIHEAL,ティーツリーケアソリューションアンプルマスクJEX,25,1340,325,2742,16698
4.9,CNP Laboratory,プロP セラム,15,466,2800,1663,3260
4.5,ナチュリエ,ハトムギ化粧水,500,22666,650,24656,27181
5.0,アユーラ,リズムコンセントレートウォーター,300,435,4000,1217,2249
4.6,エリクシール,エリクシール ルフレ バランシング おしろいミルク,35,2610,1800,6546,9068
5.0,コーセーコスメニエンス,メイク キープ ミスト,34,1598,800,4270,11735
5.3,ドクターシーラボ,VC100エッセンスローションEX,28,355,950,775,938
5.0,ハーバー,高品位「スクワラン」,15,7096,1400,8415,4742
4.7,無印良品,化粧水・敏感肌用・高保湿タイプ,400,10069,1200,14692,5655
5.5,エリクシール,エリクシール ホワイト クリアローション T II,30,2135,770,1518,3631
4.5,あきゅらいず,秀くりーむ,50,381,3682,262,50
5.2,肌ラボ,極潤プレミアム ヒアルロン液,170,219,800,205,885
5.2,エテュセ,フェイスエディション(スキンベース) フォードライスキン,35,107,1800,163,176
4.6,菊正宗,日本酒の化粧水,200,2840,500,4146,4814
5.6,オバジ,オバジXリフトローション,140,1403,4300,457,512
5.3,WHOMEE,モイストエイジングケアクリーム,30,157,2800,1307,758
3.7,SHIRO,酒かす化粧水,120,114,388,167,117
2.7,肌色化粧品,和漢粧エッセンスローション,190,454,1200,110,22
4.0,無印良品,化粧水,250,574,1450,51,1
4.5,オルラーヌ,ヴィヴィファイイングローション,250,238,6800,43,2
3.0,ブランネージュ,ATローション,100,36,5000,25,2
3.0,プライマリー,リフレッシャーローション,180,71,3800,9,2
4.0,DHCプチ,薬用トーニングローション,60,133,1100,22,3
