No age height weight scores
1 12 153.5 52.4 22
2 12 167.0 54.9 10
3 12 148.1 33.5 38
4 12 150.5 36.0 4
5 12 144.4 42.9 16
6 12 139.0 36.2 6
7 12 157.5 50.6 0
8 12 156.3 43.8 20
9 12 163.3 49.4 28
10 12 152.7 36.3 24
11 12 165.2 70.0 23
12 12 140.1 44.3 19
13 12 165.1 48.3 27
14 12 152.6 40.6 22
15 12 143.0 32.0 1
16 13 156.2 41.6 31
17 13 146.1 50.0 19
18 13 148.4 41.6 33
19 13 160.7 43.7 47
20 13 158.2 51.8 27
21 13 160.5 65.0 28
22 13 161.5 66.0 48
23 13 157.6 44.0 17
24 13 165.8 58.8 7
25 13 172.0 64.8 12
26 13 157.6 46.9 48
27 13 161.3 48.2 21
28 13 156.6 56.7 32
29 14 173.5 66.6 34
30 14 155.2 43.8 45
31 14 159.4 50.3 60
32 14 169.6 63.7 63
33 14 159.2 57.5 50
34 14 178.0 71.3 51
35 14 160.4 41.4 38
36 14 164.1 49.1 24
37 14 165.2 48.1 22
38 14 163.0 57.4 52
39 14 165.8 60.2 49
40 14 162.5 43.1 67
41 14 166.0 62.5 39
42 14 168.0 49.7 43
43 15 169.3 76.1 66
44 15 172.8 62.0 52
45 15 164.6 45.7 43
46 15 161.0 47.8 54
47 15 172.5 57.0 66
48 15 165.7 60.5 69
49 15 171.4 56.1 46
50 15 166.2 52.1 58
51 15 180.5 67.6 59
52 15 170.2 64.2 67
53 15 163.3 52.8 57
54 15 166.5 51.0 53
55 15 167.5 73.1 66
56 15 160.0 50.8 15
57 15 169.4 58.3 35
58 15 165.8 66.6 62
59 16 170.8 57.8 66
60 16 162.4 51.8 85
61 16 164.0 54.8 32
62 16 168.1 74.5 65
63 16 175.8 66.0 76
64 16 166.3 62.2 100
65 16 163.5 50.4 54
66 16 180.0 67.4 74
67 16 169.8 48.4 78
68 16 182.6 89.4 62
69 16 180.5 66.9 66
70 16 168.9 45.0 61
71 16 173.4 70.9 91
72 17 170.8 56.0 69
73 17 167.2 71.9 63
74 17 162.6 59.4 77
75 17 168.5 50.4 82
76 17 177.9 74.8 88
77 17 182.0 70.2 83
78 17 171.2 59.4 52
79 17 175.6 79.2 71
80 17 172.3 52.9 59
81 17 175.0 60.9 99
82 17 164.1 63.5 86
83 17 176.6 59.7 47
84 17 179.7 77.3 63

