No small_size Portable Easy_operation CS
1 3 3 4 3
2 5 4 2 2
3 2 2 2 1
4 4 4 3 2
5 4 4 2 3
6 5 4 2 1
7 1 3 3 3
8 1 2 3 1
9 4 4 5 5
10 4 3 4 3
11 5 4 2 3
12 2 2 2 1
13 5 5 1 4
14 1 2 4 1
15 2 2 2 1
16 4 3 3 2
17 1 2 5 4
18 5 5 3 5
19 2 2 3 2
20 2 2 4 2
21 4 2 4 2
22 3 3 5 4
23 5 5 1 3
24 5 4 1 1
25 4 3 1 2
26 3 2 1 1
27 2 2 5 2
28 1 1 4 2
29 3 3 1 2
30 2 2 4 3
31 4 3 3 3
32 4 4 2 3
33 2 2 2 2
34 5 4 1 2
35 2 2 4 5
36 1 1 3 1
37 1 2 3 3
38 2 2 3 1
39 2 2 3 2
40 2 3 2 4
41 2 2 2 1
42 3 3 2 2
43 2 3 3 2
44 4 4 2 2
45 5 5 1 2
46 1 2 4 5
47 5 4 1 2
48 1 1 3 1
49 5 4 3 3
50 2 1 5 3
51 2 2 4 1
52 4 4 3 4
53 4 3 3 1
54 1 2 3 2
55 4 3 3 1
56 2 2 5 3
57 2 2 3 3
58 3 1 1 1
59 3 3 3 4
60 2 3 4 4
61 5 4 2 1
62 3 4 2 3
63 1 2 3 2
64 3 3 3 2
65 1 2 2 1
66 4 4 3 4
67 3 3 3 1
68 4 4 3 2
69 3 3 1 2
70 5 3 3 3
71 4 4 4 2
72 2 1 4 3
73 2 3 3 4
74 3 3 3 3
75 3 3 3 1
76 2 2 4 2
77 1 2 3 4
78 5 4 3 4
79 2 2 3 2
80 2 3 4 4
81 4 4 1 3
82 1 1 4 1
83 1 1 2 1
84 3 2 3 3
85 1 1 3 1
86 1 1 5 3
87 4 3 1 3
88 4 4 5 4
89 1 1 3 1
90 2 2 3 1
91 3 3 2 2
92 2 3 4 3
93 3 3 3 1
94 5 5 2 4
95 2 2 5 2
96 1 3 3 2
97 5 4 2 3
98 2 2 2 1
99 5 5 2 4
100 1 1 3 2
