ê∂ìk,çëåÍ,âpåÍ,é–âÔ,êîäw,óùâ»,ãZèp
1,4,4,4,4,3,5
2,4,4,4,4,5,5
3,3,3,4,4,4,4
4,3,3,3,3,3,2
5,3,3,2,2,3,2
6,3,3,2,3,2,2
7,4,3,4,3,3,3
8,3,4,3,2,3,3
9,4,3,4,4,4,4
10,3,3,3,5,3,4
11,4,3,3,3,3,3
12,3,3,4,4,4,4
13,2,3,3,3,3,2
14,2,2,2,3,3,3
15,4,3,4,3,3,3
16,3,3,2,2,2,3
17,3,3,3,1,2,2
18,1,3,2,4,3,3
19,3,3,2,2,3,3
20,1,2,2,2,2,3
21,3,3,3,2,2,3
22,3,3,4,3,4,4
23,3,3,2,3,2,4
24,5,4,4,3,4,3
25,4,3,3,4,4,3
26,2,3,2,3,3,3
27,2,3,3,2,3,3
28,3,2,2,2,2,2
29,3,3,3,3,3,4
30,3,3,3,4,3,4
31,2,2,1,2,3,2
32,3,3,3,3,2,3
33,3,2,2,2,2,2
34,3,3,3,1,2,2
35,2,3,2,3,3,2
36,3,3,2,2,2,2
37,3,2,2,2,2,2
38,3,3,3,3,4,3
39,3,4,3,5,3,4
40,3,3,2,3,2,3
41,4,3,3,3,3,3
42,3,2,2,3,3,2
43,3,3,2,2,3,2
44,3,2,3,3,3,3
45,2,2,2,2,2,2
46,3,3,3,4,3,4
47,2,2,3,2,2,2
48,4,4,4,3,3,3
49,3,3,3,2,3,2
50,3,3,3,4,3,4
51,1,2,2,2,2,2
52,4,3,3,3,3,2
53,2,3,2,3,3,3
54,3,4,4,3,2,3
55,3,3,3,3,3,4
56,4,3,4,4,4,3
57,2,3,3,3,3,2
58,4,3,3,3,3,4
59,3,4,3,3,3,3
60,3,3,3,3,3,3
61,3,3,3,3,2,3
62,2,3,2,3,3,3
63,2,3,3,2,3,3
64,4,3,4,1,3,3
65,4,3,4,3,4,3
66,4,3,3,2,3,3
67,4,3,3,3,4,3
68,4,3,3,4,4,3
69,4,3,4,3,3,3
70,4,3,4,3,3,3
71,4,3,4,3,3,4
72,4,3,4,3,2,2
73,3,2,3,3,3,3
74,4,3,2,3,3,3
75,3,3,4,3,3,3
76,3,4,3,4,4,4
77,3,3,3,2,3,2
78,2,3,3,3,3,3
79,2,3,3,3,4,3
80,4,3,4,4,4,4
81,4,4,4,3,3,3
82,2,3,4,2,3,3
83,4,4,3,3,3,4
84,2,3,3,4,4,4
85,3,2,3,3,3,3
86,2,3,3,1,2,2
87,4,3,3,4,4,3
88,4,3,3,3,3,3
89,3,4,3,3,3,2
90,2,3,3,4,4,4
91,2,3,2,3,3,2
92,2,3,3,3,3,3
93,2,3,1,2,2,2
94,2,3,2,2,2,3
95,3,3,3,4,4,4
96,3,3,3,3,4,4
97,2,2,2,3,3,2
98,2,3,2,2,3,3
99,2,3,2,2,3,2
100,3,3,3,3,3,3
101,3,3,3,4,4,3
102,3,4,4,4,4,4
103,3,3,3,3,3,3
104,2,3,3,2,3,3
105,2,3,3,4,3,3
106,3,3,4,2,2,2
107,4,3,4,4,3,2
108,4,3,3,5,4,4
109,2,2,2,2,2,2
110,4,4,3,3,3,3
111,2,2,2,3,3,3
112,3,3,3,4,4,4
113,3,4,4,2,3,3
114,5,3,4,3,3,2
115,3,3,2,3,2,2
116,2,3,2,3,3,2
117,4,4,4,4,3,3
118,4,4,4,3,3,3
119,3,3,4,3,3,3
120,3,4,4,4,4,3
121,2,3,2,3,3,3
122,3,3,2,3,3,3
123,3,3,4,5,5,4
124,4,3,3,3,3,2
125,2,2,2,2,2,3
126,3,3,4,3,4,3
127,3,3,4,3,3,3
128,4,3,3,4,4,4
129,4,4,4,3,3,4
130,2,3,4,2,3,3
131,3,3,3,4,3,3
132,3,5,4,3,3,2
133,3,3,4,3,3,3
134,3,3,3,3,3,3
135,3,3,2,2,2,3
136,2,3,3,3,3,3
137,3,3,3,3,3,4
138,2,3,3,3,2,2
139,4,4,4,3,3,3
140,3,3,2,3,4,4
141,2,3,2,4,2,3
142,3,3,3,2,3,2
143,4,3,3,4,3,3
144,1,3,3,2,2,3
145,2,3,3,3,3,3
146,2,3,3,3,2,3
147,3,2,2,2,1,2
148,2,2,2,2,2,2
149,4,3,3,3,2,2
150,4,3,3,3,3,2
151,4,3,4,3,3,3
152,3,3,4,3,3,2
153,4,3,3,3,3,4
154,3,3,3,3,3,3
155,3,4,4,4,4,5
156,3,3,3,3,3,3
157,3,3,3,4,3,3
158,4,4,3,3,3,3
159,1,3,3,3,4,3
160,3,3,3,2,3,3
161,4,3,4,4,3,4
162,2,2,1,3,2,2
163,4,3,3,3,3,4
164,3,3,4,3,3,3
165,3,3,4,2,3,3
166,3,2,2,3,3,3
167,2,2,3,3,3,2
168,3,3,3,2,2,2
169,2,2,2,3,4,3
170,2,2,2,4,3,4
171,3,3,3,3,3,3
172,2,3,3,3,3,3
173,4,3,3,3,4,4
174,2,3,2,4,3,2
175,3,3,3,3,3,2
176,3,4,4,4,3,4
177,4,3,3,4,3,3
178,4,4,4,4,4,4
179,4,3,3,4,4,3
180,4,3,3,3,3,3
181,2,3,2,3,2,4
182,2,3,3,3,3,3
183,3,3,2,2,2,2
184,2,3,3,4,3,4
185,3,3,2,3,3,3
186,2,2,3,3,3,3
187,4,3,3,3,3,4
188,3,3,2,2,2,2
189,2,3,3,3,3,4
190,3,3,1,3,3,3
191,3,3,3,3,2,3
192,4,3,3,3,3,3
193,2,2,3,3,3,3
194,4,4,3,4,4,4
195,4,3,3,3,4,4
196,3,3,4,5,3,4
197,4,4,3,3,3,2
198,3,3,3,2,2,3
199,3,4,3,3,3,3
200,1,2,2,2,2,2
