Country Code,gdpp,gdp_growth,income,imports,exports,health,child_mort,total_fer,life_expec
AGO,2809.63,-0.62,1700.32,24.94,39.34,2.53,74.20,5.44,61.15
ARE,42701.44,3.41,39305.78,70.85,96.84,4.28,6.80,1.39,77.97
ARG,10056.64,-2.03,8160.57,14.52,17.70,9.51,9.10,2.25,76.67
ARM,4604.65,7.60,4024.14,54.76,41.35,11.34,11.50,1.76,75.09
AUS,54875.29,2.11,42151.09,21.68,24.17,9.91,3.70,1.66,82.90
AUT,50114.40,1.49,41179.55,52.04,55.44,10.43,3.60,1.46,81.79
AZE,4805.75,2.50,3501.65,36.77,49.05,4.04,20.40,1.80,73.00
BDI,228.21,1.84,199.89,32.73,9.13,7.99,56.60,5.32,61.58
BEL,46591.49,2.15,38208.45,81.53,82.19,10.66,4.20,1.57,81.75
BEN,1219.52,6.87,1058.62,34.05,29.63,2.39,88.40,4.77,61.77
BFA,796.12,5.69,672.73,31.05,27.62,5.46,87.80,5.11,61.58
BGD,1855.74,8.15,1777.28,21.44,15.32,2.48,30.70,2.01,72.59
BGR,9879.27,4.04,8260.46,60.71,63.93,7.13,6.60,1.58,74.91
BHR,23551.93,2.14,19490.59,65.22,76.49,4.01,7.00,1.96,77.29
BHS,33799.42,0.70,31439.34,36.31,35.03,5.75,22.40,1.74,73.92
BIH,6119.76,2.83,5113.45,55.20,40.48,9.05,5.90,1.25,77.40
BLR,6837.72,1.40,5282.87,65.76,65.09,5.86,3.10,1.38,74.23
BLZ,5078.81,1.76,3549.72,59.00,51.02,5.97,12.30,2.27,74.62
BOL,3552.07,2.22,2986.57,31.43,24.97,6.92,26.30,2.69,71.51
BRA,8897.55,1.41,7628.83,14.35,14.11,9.59,14.90,1.72,75.88
BRB,18148.50,-0.10,15641.53,41.68,42.01,6.30,12.60,1.62,79.19
BRN,31085.96,3.87,24693.88,50.56,57.95,2.16,11.40,1.82,75.86
BTN,3322.86,5.76,2719.83,48.19,33.94,3.61,28.60,1.95,71.78
BWA,7203.06,2.99,5617.68,46.37,37.38,6.05,45.90,2.84,69.59
CAF,467.91,3.00,404.48,35.79,16.41,7.75,106.60,4.64,53.28
CAN,46338.34,1.88,37829.48,33.50,31.91,10.84,5.10,1.47,82.05
CHE,85334.52,1.21,65600.06,53.68,65.53,11.29,4.00,1.48,83.70
CHL,14741.71,0.94,11718.55,28.85,28.02,9.33,7.00,1.63,80.18
CHN,10143.84,5.95,8333.88,17.48,18.41,5.35,7.90,1.70,76.91
CIV,2276.33,6.23,2115.37,22.62,23.78,3.30,80.30,4.59,57.78
CMR,1533.10,3.48,1262.06,23.53,19.85,3.60,74.70,4.51,59.29
COD,580.72,4.38,506.96,30.16,26.46,3.54,83.80,5.82,60.68
COG,2369.73,-0.09,658.04,53.16,73.79,2.08,52.50,4.37,64.57
COL,6424.98,3.28,5246.16,21.67,15.85,7.71,13.60,1.79,77.29
COM,1401.54,1.76,1228.47,29.50,12.80,5.17,63.50,4.14,64.32
CPV,3603.78,5.67,2997.51,65.26,50.65,4.94,14.90,2.24,72.98
CRI,12693.83,2.26,10791.99,32.13,34.00,7.27,8.20,1.74,80.28
CYP,29206.08,5.28,24307.11,75.38,75.59,7.01,2.80,1.32,80.98
CZE,23660.15,3.03,17342.72,67.90,73.89,7.83,3.00,1.71,79.13
DEU,46794.90,1.06,39093.20,40.98,46.62,11.70,3.70,1.54,80.94
DJI,3414.92,7.77,2923.02,143.57,152.57,1.80,57.80,2.68,67.11
DNK,59775.74,2.11,51806.74,51.61,59.00,9.96,3.70,1.70,81.20
DOM,8282.12,5.05,7406.02,27.94,23.07,5.93,34.40,2.32,74.08
DZA,3989.67,1.00,3114.08,29.13,22.71,6.24,23.30,2.99,76.88
ECU,6222.52,0.01,4696.38,23.03,23.05,7.82,13.40,2.40,77.01
EGY,3019.09,5.56,2615.17,25.74,17.50,4.74,20.10,3.28,71.99
ESP,29555.32,2.09,25055.30,32.02,34.95,9.13,3.30,1.24,83.49
EST,23397.12,4.10,19446.01,69.89,74.05,6.73,2.30,1.66,78.50
ETH,855.76,8.36,744.14,20.88,7.94,3.24,50.80,4.15,66.60
FIN,48628.64,1.22,39812.06,39.73,39.88,9.15,2.30,1.35,81.79
FJI,6175.89,-0.45,4895.59,58.43,48.13,3.82,26.90,2.75,67.44
FRA,40578.64,1.84,33723.90,32.55,31.59,11.06,4.30,1.87,82.58
GAB,7767.00,3.92,5003.58,22.00,51.43,2.77,43.00,3.92,66.47
GEO,4697.98,4.98,3977.49,63.78,54.82,6.66,9.50,2.06,73.77
GHA,2246.63,6.51,1832.49,39.38,37.45,3.42,46.40,3.82,64.07
GIN,1058.14,5.65,843.56,42.29,29.96,3.98,98.00,4.62,61.60
GMB,772.05,6.15,612.18,34.45,18.85,3.82,51.20,5.15,62.05
GNB,749.45,4.50,711.90,35.08,20.29,8.35,79.60,4.40,58.32
GNQ,8419.93,-5.98,3302.11,41.70,52.81,3.14,81.20,4.43,58.73
GRC,19133.76,1.80,16096.93,41.86,40.13,7.84,4.20,1.35,81.94
GTM,4638.63,3.87,3929.84,27.95,17.65,6.21,24.50,2.82,74.30
HND,2556.46,2.65,2235.50,58.11,39.92,7.28,16.80,2.43,75.27
HRV,15311.77,3.48,12495.65,51.06,50.75,6.98,4.60,1.47,78.42
HTI,1312.77,-1.68,1200.58,37.45,11.71,4.73,62.20,2.89,64.00
HUN,16735.66,4.55,13581.69,79.46,81.78,6.35,4.10,1.49,76.02
IDN,4135.20,5.02,3280.31,19.00,18.45,2.90,23.80,2.29,71.72
IND,2100.75,4.04,1821.96,20.96,18.43,3.01,34.40,2.20,69.66
IRL,80886.62,4.92,43036.41,124.41,127.93,6.68,3.20,1.70,82.30
IRQ,5980.63,5.96,4545.38,30.75,37.82,4.48,26.10,3.60,70.60
ISL,68941.46,2.43,57828.96,39.78,44.31,8.64,2.00,1.75,82.56
ISR,43951.25,3.77,37638.05,27.32,29.51,7.46,3.60,3.01,82.80
