Country Code,gdpp,gdp_growth,income,imports,exports,health,child_mort,total_fer,life_expec,Code,Country Name
AGO,2809.63,-0.62,1700.32,24.94,39.34,2.53,74.2,5.44,61.15,AGO,Angola
ARE,42701.44,3.41,39305.78,70.85,96.84,4.28,6.8,1.39,77.97,ARE,United Arab Emirates
ARG,10056.64,-2.03,8160.57,14.52,17.7,9.51,9.1,2.25,76.67,ARG,Argentina
ARM,4604.65,7.6,4024.14,54.76,41.35,11.34,11.5,1.76,75.09,ARM,Armenia
AUS,54875.29,2.11,42151.09,21.68,24.17,9.91,3.7,1.66,82.9,AUS,Australia
AUT,50114.4,1.49,41179.55,52.04,55.44,10.43,3.6,1.46,81.79,AUT,Austria
AZE,4805.75,2.5,3501.65,36.77,49.05,4.04,20.4,1.8,73.0,AZE,Azerbaijan
BDI,228.21,1.84,199.89,32.73,9.13,7.99,56.6,5.32,61.58,BDI,Burundi
BEL,46591.49,2.15,38208.45,81.53,82.19,10.66,4.2,1.57,81.75,BEL,Belgium
BEN,1219.52,6.87,1058.62,34.05,29.63,2.39,88.4,4.77,61.77,BEN,Benin
BFA,796.12,5.69,672.73,31.05,27.62,5.46,87.8,5.11,61.58,BFA,Burkina Faso
BGD,1855.74,8.15,1777.28,21.44,15.32,2.48,30.7,2.01,72.59,BGD,Bangladesh
BGR,9879.27,4.04,8260.46,60.71,63.93,7.13,6.6,1.58,74.91,BGR,Bulgaria
BHR,23551.93,2.14,19490.59,65.22,76.49,4.01,7.0,1.96,77.29,BHR,Bahrain
BHS,33799.42,0.7,31439.34,36.31,35.03,5.75,22.4,1.74,73.92,BHS,"Bahamas, The"
BIH,6119.76,2.83,5113.45,55.2,40.48,9.05,5.9,1.25,77.4,BIH,Bosnia and Herzegovina
BLR,6837.72,1.4,5282.87,65.76,65.09,5.86,3.1,1.38,74.23,BLR,Belarus
BLZ,5078.81,1.76,3549.72,59.0,51.02,5.97,12.3,2.27,74.62,BLZ,Belize
BOL,3552.07,2.22,2986.57,31.43,24.97,6.92,26.3,2.69,71.51,BOL,Bolivia
BRA,8897.55,1.41,7628.83,14.35,14.11,9.59,14.9,1.72,75.88,BRA,Brazil
BRB,18148.5,-0.1,15641.53,41.68,42.01,6.3,12.6,1.62,79.19,BRB,Barbados
BRN,31085.96,3.87,24693.88,50.56,57.95,2.16,11.4,1.82,75.86,BRN,Brunei Darussalam
BTN,3322.86,5.76,2719.83,48.19,33.94,3.61,28.6,1.95,71.78,BTN,Bhutan
BWA,7203.06,2.99,5617.68,46.37,37.38,6.05,45.9,2.84,69.59,BWA,Botswana
CAF,467.91,3.0,404.48,35.79,16.41,7.75,106.6,4.64,53.28,CAF,Central African Republic
CAN,46338.34,1.88,37829.48,33.5,31.91,10.84,5.1,1.47,82.05,CAN,Canada
CHE,85334.52,1.21,65600.06,53.68,65.53,11.29,4.0,1.48,83.7,CHE,Switzerland
CHL,14741.71,0.94,11718.55,28.85,28.02,9.33,7.0,1.63,80.18,CHL,Chile
CHN,10143.84,5.95,8333.88,17.48,18.41,5.35,7.9,1.7,76.91,CHN,China
CIV,2276.33,6.23,2115.37,22.62,23.78,3.3,80.3,4.59,57.78,CIV,Cote d'Ivoire
CMR,1533.1,3.48,1262.06,23.53,19.85,3.6,74.7,4.51,59.29,CMR,Cameroon
COD,580.72,4.38,506.96,30.16,26.46,3.54,83.8,5.82,60.68,COD,"Congo, Dem. Rep."
COG,2369.73,-0.09,658.04,53.16,73.79,2.08,52.5,4.37,64.57,COG,"Congo, Rep."
COL,6424.98,3.28,5246.16,21.67,15.85,7.71,13.6,1.79,77.29,COL,Colombia
COM,1401.54,1.76,1228.47,29.5,12.8,5.17,63.5,4.14,64.32,COM,Comoros
CPV,3603.78,5.67,2997.51,65.26,50.65,4.94,14.9,2.24,72.98,CPV,Cabo Verde
CRI,12693.83,2.26,10791.99,32.13,34.0,7.27,8.2,1.74,80.28,CRI,Costa Rica
CYP,29206.08,5.28,24307.11,75.38,75.59,7.01,2.8,1.32,80.98,CYP,Cyprus
CZE,23660.15,3.03,17342.72,67.9,73.89,7.83,3.0,1.71,79.13,CZE,Czech Republic
DEU,46794.9,1.06,39093.2,40.98,46.62,11.7,3.7,1.54,80.94,DEU,Germany
DJI,3414.92,7.77,2923.02,143.57,152.57,1.8,57.8,2.68,67.11,DJI,Djibouti
DNK,59775.74,2.11,51806.74,51.61,59.0,9.96,3.7,1.7,81.2,DNK,Denmark
DOM,8282.12,5.05,7406.02,27.94,23.07,5.93,34.4,2.32,74.08,DOM,Dominican Republic
DZA,3989.67,1.0,3114.08,29.13,22.71,6.24,23.3,2.99,76.88,DZA,Algeria
ECU,6222.52,0.01,4696.38,23.03,23.05,7.82,13.4,2.4,77.01,ECU,Ecuador
EGY,3019.09,5.56,2615.17,25.74,17.5,4.74,20.1,3.28,71.99,EGY,"Egypt, Arab Rep."
ESP,29555.32,2.09,25055.3,32.02,34.95,9.13,3.3,1.24,83.49,ESP,Spain
EST,23397.12,4.1,19446.01,69.89,74.05,6.73,2.3,1.66,78.5,EST,Estonia
ETH,855.76,8.36,744.14,20.88,7.94,3.24,50.8,4.15,66.6,ETH,Ethiopia
FIN,48628.64,1.22,39812.06,39.73,39.88,9.15,2.3,1.35,81.79,FIN,Finland
FJI,6175.89,-0.45,4895.59,58.43,48.13,3.82,26.9,2.75,67.44,FJI,Fiji
FRA,40578.64,1.84,33723.9,32.55,31.59,11.06,4.3,1.87,82.58,FRA,France
GAB,7767.0,3.92,5003.58,22.0,51.43,2.77,43.0,3.92,66.47,GAB,Gabon
GEO,4697.98,4.98,3977.49,63.78,54.82,6.66,9.5,2.06,73.77,GEO,Georgia
GHA,2246.63,6.51,1832.49,39.38,37.45,3.42,46.4,3.82,64.07,GHA,Ghana
GIN,1058.14,5.65,843.56,42.29,29.96,3.98,98.0,4.62,61.6,GIN,Guinea
GMB,772.05,6.15,612.18,34.45,18.85,3.82,51.2,5.15,62.05,GMB,"Gambia, The"
GNB,749.45,4.5,711.9,35.08,20.29,8.35,79.6,4.4,58.32,GNB,Guinea-Bissau
GNQ,8419.93,-5.98,3302.11,41.7,52.81,3.14,81.2,4.43,58.73,GNQ,Equatorial Guinea
GRC,19133.76,1.8,16096.93,41.86,40.13,7.84,4.2,1.35,81.94,GRC,Greece
GTM,4638.63,3.87,3929.84,27.95,17.65,6.21,24.5,2.82,74.3,GTM,Guatemala
HND,2556.46,2.65,2235.5,58.11,39.92,7.28,16.8,2.43,75.27,HND,Honduras
HRV,15311.77,3.48,12495.65,51.06,50.75,6.98,4.6,1.47,78.42,HRV,Croatia
HTI,1312.77,-1.68,1200.58,37.45,11.71,4.73,62.2,2.89,64.0,HTI,Haiti
HUN,16735.66,4.55,13581.69,79.46,81.78,6.35,4.1,1.49,76.02,HUN,Hungary
IDN,4135.2,5.02,3280.31,19.0,18.45,2.9,23.8,2.29,71.72,IDN,Indonesia
IND,2100.75,4.04,1821.96,20.96,18.43,3.01,34.4,2.2,69.66,IND,India
IRL,80886.62,4.92,43036.41,124.41,127.93,6.68,3.2,1.7,82.3,IRL,Ireland
IRQ,5980.63,5.96,4545.38,30.75,37.82,4.48,26.1,3.6,70.6,IRQ,Iraq
ISL,68941.46,2.43,57828.96,39.78,44.31,8.64,2.0,1.75,82.56,ISL,Iceland
ISR,43951.25,3.77,37638.05,27.32,29.51,7.46,3.6,3.01,82.8,ISR,Israel
ITA,33641.63,0.41,27895.07,28.32,31.63,8.67,3.0,1.27,83.2,ITA,Italy
JAM,5369.5,0.89,5040.16,52.07,38.04,6.1,13.7,1.97,74.47,JAM,Jamaica
JOR,4405.49,1.96,4131.54,49.35,36.34,7.58,15.5,2.69,74.53,JOR,Jordan
