# Electric power consumption in Hakusan campus [kWh]  
Date,"bldg_1","bldg_2&3","bldg_4","bldg_5","bldg_6","bldg_7","bldg_8&9","bldg_10","Hosui-kaikan","Total"
2014/4/1,5940 ,8480 ,1800 ,1800 ,6000 ,62 ,3660 ,0 ,384 ,28116 
2014/4/2,5460 ,8550 ,1600 ,2100 ,5700 ,65 ,3700 ,0 ,337 ,27512 
2014/4/3,5390 ,8220 ,2000 ,2000 ,6800 ,70 ,3720 ,0 ,418 ,28667 
2014/4/4,4220 ,8280 ,1800 ,2000 ,7200 ,70 ,3720 ,0 ,399 ,27719 
2014/4/5,5650 ,7840 ,1500 ,1900 ,5000 ,65 ,3220 ,0 ,239 ,25384 
2014/4/6,2370 ,6560 ,1100 ,1900 ,3800 ,62 ,1920 ,0 ,158 ,17910 
2014/4/7,6640 ,10000 ,1900 ,1900 ,7300 ,98 ,4290 ,0 ,508 ,32786 
2014/4/8,5670 ,9660 ,1900 ,1700 ,7600 ,113 ,4060 ,0 ,386 ,31019 
2014/4/9,4990 ,9670 ,1900 ,2100 ,7700 ,110 ,3860 ,0 ,402 ,30772 
2014/4/10,4980 ,9460 ,1900 ,1900 ,7700 ,127 ,3730 ,0 ,314 ,30111 
2014/4/11,6720 ,9540 ,2000 ,1900 ,7300 ,115 ,3730 ,0 ,410 ,31706 
2014/4/12,4810 ,8330 ,1800 ,1800 ,5500 ,106 ,3160 ,0 ,233 ,25779 
2014/4/13,2360 ,4700 ,1100 ,1800 ,2700 ,84 ,1630 ,0 ,146 ,14540 
2014/4/14,6010 ,9650 ,2000 ,2000 ,7400 ,108 ,3980 ,0 ,358 ,31526 
2014/4/15,4940 ,9330 ,2000 ,1600 ,7900 ,120 ,3730 ,0 ,349 ,29989 
2014/4/16,4250 ,9800 ,2100 ,2000 ,7800 ,84 ,3750 ,0 ,361 ,30245 
2014/4/17,4140 ,9780 ,2000 ,2100 ,7700 ,134 ,3800 ,0 ,331 ,29926 
2014/4/18,5790 ,9510 ,2100 ,1500 ,7400 ,118 ,4070 ,0 ,395 ,30933 
2014/4/19,4690 ,8250 ,1700 ,1900 ,5400 ,134 ,3550 ,0 ,335 ,25970 
2014/4/20,990 ,2590 ,500 ,500 ,1000 ,48 ,860 ,0 ,82 ,6620 
2014/4/21,5660 ,9430 ,2100 ,2000 ,7200 ,122 ,3920 ,0 ,442 ,30925 
2014/4/22,4940 ,9280 ,2000 ,2100 ,7600 ,120 ,3750 ,0 ,394 ,30204 
2014/4/23,4220 ,9260 ,2100 ,1900 ,7600 ,86 ,3870 ,0 ,397 ,29503 
2014/4/24,4070 ,9320 ,2000 ,2000 ,7700 ,120 ,3870 ,0 ,395 ,29455 
2014/4/25,5760 ,9730 ,2200 ,1900 ,7700 ,115 ,3880 ,0 ,425 ,31780 
2014/4/26,4350 ,8650 ,1700 ,1200 ,5700 ,103 ,3330 ,0 ,237 ,25300 
