age,reason,studytime,failures,schoolsup,higher,goout,health,absences,G3
18,course,2 to 5 hours,0,1,1,4,3,4,11
17,course,2 to 5 hours,0,0,1,3,3,2,11
15,other,2 to 5 hours,0,1,1,2,3,6,12
15,home,5 to 10 hours,0,0,1,2,5,0,14
16,home,2 to 5 hours,0,0,1,2,5,0,13
16,reputation,2 to 5 hours,0,0,1,2,5,6,13
16,home,2 to 5 hours,0,0,1,4,3,0,13
17,home,2 to 5 hours,0,1,1,4,1,2,13
15,home,2 to 5 hours,0,0,1,2,1,0,17
15,home,2 to 5 hours,0,0,1,1,5,0,13
15,reputation,2 to 5 hours,0,0,1,3,2,2,14
15,reputation,5 to 10 hours,0,0,1,2,4,0,13
15,course,<2 hours,0,0,1,3,5,0,12
15,course,2 to 5 hours,0,0,1,3,3,0,13
15,home,5 to 10 hours,0,0,1,2,3,0,15
16,home,<2 hours,0,0,1,4,2,6,17
16,reputation,5 to 10 hours,0,0,1,3,2,10,14
16,reputation,2 to 5 hours,0,1,1,2,4,2,14
17,course,<2 hours,3,0,1,5,5,2,7
16,home,<2 hours,0,0,1,3,5,6,12
15,reputation,2 to 5 hours,0,0,1,1,1,0,14
15,other,<2 hours,0,0,1,2,5,0,12
16,course,2 to 5 hours,0,0,1,1,5,0,14
16,reputation,2 to 5 hours,0,0,1,4,5,2,10
15,course,5 to 10 hours,0,1,1,2,5,2,10
16,home,<2 hours,0,0,1,2,5,6,12
15,home,<2 hours,0,0,1,2,5,8,12
15,other,<2 hours,0,0,1,4,1,0,11
16,home,2 to 5 hours,0,1,1,3,5,2,13
16,home,2 to 5 hours,0,0,1,5,5,4,12
15,home,2 to 5 hours,0,0,1,2,5,0,11
15,reputation,2 to 5 hours,0,0,1,1,5,2,15
15,course,2 to 5 hours,0,0,1,2,5,0,15
15,course,2 to 5 hours,0,0,1,2,2,0,12
16,home,<2 hours,0,0,1,3,5,4,12
15,other,<2 hours,0,0,1,1,5,4,11
15,home,5 to 10 hours,0,0,1,3,4,0,14
16,reputation,5 to 10 hours,0,0,1,3,5,4,13
15,course,5 to 10 hours,0,1,1,2,5,2,12
15,reputation,<2 hours,0,1,1,1,2,8,12
16,home,2 to 5 hours,0,0,1,3,3,16,10
15,home,<2 hours,0,0,1,3,5,8,11
15,course,2 to 5 hours,0,0,1,3,5,0,15
15,course,<2 hours,0,1,1,1,1,0,10
16,course,2 to 5 hours,1,1,1,3,5,14,11
15,course,2 to 5 hours,0,1,1,2,5,4,11
16,home,2 to 5 hours,0,0,1,5,3,6,13
16,reputation,>10 hours,0,0,1,2,2,2,17
15,home,2 to 5 hours,0,0,1,3,5,4,13
15,other,2 to 5 hours,0,1,1,4,3,2,12
16,course,2 to 5 hours,0,0,1,3,4,0,13
15,other,2 to 5 hours,0,0,1,3,5,0,16
15,other,<2 hours,0,0,1,5,5,4,9
15,course,<2 hours,0,1,1,4,5,0,12
15,other,<2 hours,0,0,1,4,1,0,13
16,other,2 to 5 hours,0,0,1,4,2,2,12
15,reputation,2 to 5 hours,0,0,1,2,1,0,15
15,reputation,2 to 5 hours,0,0,1,2,5,8,16
15,home,2 to 5 hours,0,1,1,2,5,0,14
16,course,2 to 5 hours,0,0,1,3,5,2,16
16,other,2 to 5 hours,0,0,1,4,4,0,16
16,course,<2 hours,0,1,1,5,5,0,16
16,reputation,2 to 5 hours,0,1,1,3,1,0,10
16,home,5 to 10 hours,0,1,1,4,4,0,13
15,reputation,2 to 5 hours,0,1,1,4,2,0,12
16,course,2 to 5 hours,0,0,1,3,1,2,16
15,reputation,>10 hours,0,0,1,3,3,0,12
16,course,>10 hours,0,1,1,3,5,0,10
15,reputation,2 to 5 hours,0,1,1,3,4,0,11
15,reputation,>10 hours,0,0,1,2,3,6,15
16,reputation,>10 hours,0,0,1,2,5,2,11
15,course,>10 hours,0,0,1,3,3,0,10
15,reputation,2 to 5 hours,0,1,1,4,5,2,11
16,reputation,<2 hours,0,0,1,2,5,0,14
16,home,2 to 5 hours,0,1,1,3,5,4,11
15,home,2 to 5 hours,0,0,1,3,5,0,11
15,course,>10 hours,0,0,1,3,1,0,11
16,reputation,>10 hours,0,0,1,3,3,1,13
17,home,<2 hours,3,1,0,1,3,0,10
16,course,2 to 5 hours,0,0,1,3,3,14,11
15,course,<2 hours,0,1,1,2,3,0,12
15,home,5 to 10 hours,0,1,1,2,5,2,9
15,reputation,2 to 5 hours,0,0,1,4,5,4,11
15,home,2 to 5 hours,0,0,1,3,4,2,13
15,home,2 to 5 hours,0,0,1,2,4,2,12
15,reputation,2 to 5 hours,0,0,1,4,5,4,12
16,course,2 to 5 hours,0,0,1,4,2,6,11
15,reputation,5 to 10 hours,0,0,1,3,1,4,15
16,reputation,2 to 5 hours,0,0,1,2,3,6,11
16,reputation,2 to 5 hours,0,0,1,3,5,6,10
16,home,5 to 10 hours,0,0,1,3,4,2,11
15,reputation,<2 hours,0,0,1,5,1,6,13
16,home,2 to 5 hours,0,1,1,3,2,0,12
16,home,2 to 5 hours,0,0,1,3,1,2,14
15,reputation,>10 hours,0,0,1,4,4,2,12
15,home,>10 hours,0,1,1,2,1,4,13
16,reputation,<2 hours,0,1,1,3,4,6,11
16,course,2 to 5 hours,0,0,1,5,5,0,12
16,reputation,<2 hours,0,0,1,4,1,4,13
